date,vendor,product_type,product_name,pay_method,value,direction
2025-07-11,nepali_kezmuves_bolt,clothing,shorts,card,10300,out
2025-07-11,lidl,groceries,food,card,1385,out
2025-07-12,bkk,travel,line_ticket,card,500,out
2025-07-12,lipoti_pekseg,eat_out,coffee,card,590,out
2025-07-12,z__langosdaja,eat_out,food,cash,2300,out
2025-07-12,euro_sarok,body_care,deodorant,card,1500,out
2025-07-12,euro_sarok,groceries,drink,card,1000,out
2025-07-12,prima,groceries,alcohol,cash,2020,out
2025-07-13,friend,fun_item,birthday_gift,card,5555,out
2025-07-13,otp,fee,transfer,card,333,out
2025-07-13,bringatanya,eat_out,ice_cream,card,2050,out
2025-07-13,caravan_camping,eat_out,alcohol,card,800,out
2025-07-14,mav,travel,train_ticket,card,3856,out
2025-07-14,bkk,travel,line_ticket,card,500,out
2025-07-15,nts,smoking,swan_filter,card,260,out
2025-07-15,melodin,eat_out,food,nice,2380,out
2025-07-15,nepali_kezmuves_bolt,clothing,shorts,cash,600,out
2025-07-15,konyvmentok,fun_item,book,cash,400,out
2025-07-15,kislumen,eat_out,drink,card,1150,out
2025-07-15,lidl,groceries,food,card,1378,out
2025-07-16,melodin,eat_out,food,nice,2834,out
2025-07-16,nts,smoking,tobacco,cash,15000,out
2025-07-16,pizza_manufaktura,eat_out,food,card,3401,out
2025-07-16,pizza_manufaktura,gift,tip,cash,1000,out
2025-07-17,melodin,eat_out,food,nice,2287,out
2025-07-17,nts,smoking,paper,card,390,out
2025-07-17,spar,groceries,food,card,1746,out
2025-07-17,dm,fun_item,sunglasses,card,3999,out
2025-07-17,dm,fun_item,glass_case,card,1299,out
2025-07-17,dm,body_care,razor_heads,card,13185,out
2025-07-17,dm,body_care,toothbrush,card,1465,out
2025-07-17,dm,groceries,food,card,769,out
2025-07-17,mav,travel,train_ticket,card,3856,out
2025-07-17,bkk,travel,line_ticket,card,500,out
2025-07-18,melodin,eat_out,food,nice,2385,out
2025-07-18,melodin,eat_out,food,card,490,out
2025-07-19,rossmann,body_care,wet_wipes,card,479,out
2025-07-19,tesco,fun_item,camping_lamp,card,4000,out
2025-07-19,muller,body_care,shower_gel,card,1300,out
2025-07-19,muller,fun_item,lego,card,1790,out
2025-07-19,muller,groceries,food,card,3810,out
2025-07-19,spar,groceries,food,cash,12000,out
2025-07-19,spar,groceries,alcohol,cash,8000,out
2025-07-19,spar,groceries,food,card,848,out
2025-07-19,lidl,groceries,alcohol,card,7000,out
2025-07-19,lidl,groceries,food,card,6045,out
2025-07-20,omv,travel,gasoline,cash,15005,out
2025-07-20,muveszetek_volgye,fee,camping_rent,cash,15000,out
2025-07-20,muveszetek_volgye,eat_out,alcohol,card,1350,out
2025-07-20,muveszetek_volgye,eat_out,alcohol,card,1390,out
2025-07-21,muveszetek_volgye,eat_out,alcohol,card,1500,out
2025-07-21,muveszetek_volgye,eat_out,alcohol,card,750,out
2025-07-21,muveszetek_volgye,eat_out,alcohol,card,2180,out
2025-07-21,muveszetek_volgye,fee,toilet_use,card,400,out
2025-07-21,muveszetek_volgye,eat_out,alcohol,card,1490,out
2025-07-21,muveszetek_volgye,eat_out,food,card,1950,out
2025-07-22,nts,smoking,tobacco,card,2620,out
2025-07-23,muveszetek_volgye,eat_out,food,cash,1500,out
2025-07-23,muveszetek_volgye,fun_item,ceramic_fairy,card,1600,out
2025-07-23,muveszetek_volgye,eat_out,alcohol,card,2100,out
2025-07-24,muveszetek_volgye,eat_out,coffee,card,1600,out
2025-07-24,muveszetek_volgye,fee,toilet_use,card,300,out
2025-07-24,muveszetek_volgye,eat_out,alcohol,card,800,out
2025-07-24,muveszetek_volgye,fee,toilet_use,cash,400,out
2025-07-24,muveszetek_volgye,eat_out,alcohol,card,800,out
2025-07-25,muveszetek_volgye,eat_out,drink,card,400,out
2025-07-25,muveszetek_volgye,eat_out,coffee,card,1000,out
2025-07-25,muveszetek_volgye,fee,toilet_use,card,400,out
2025-07-25,muveszetek_volgye,eat_out,food,card,4500,out
2025-07-25,muveszetek_volgye,eat_out,alcohol,card,1800,out
2025-07-25,muveszetek_volgye,eat_out,alcohol,card,4260,out
2025-07-26,muveszetek_volgye,eat_out,food,card,3455,out
2025-07-26,muveszetek_volgye,eat_out,coffee,cash,600,out
2025-07-26,muveszetek_volgye,fee,festival_ticket,card,13500,out
2025-07-26,muveszetek_volgye,groceries,food,cash,657,out
2025-07-26,nts,smoking,paper,card,120,out
2025-07-26,friend,gift,alcohol,cash,1000,in
2025-07-26,muveszetek_volgye,eat_out,food,card,4675,out
2025-07-26,muveszetek_volgye,eat_out,alcohol,card,2350,out
2025-07-26,muveszetek_volgye,eat_out,alcohol,card,1600,out
2025-07-27,muveszetek_volgye,eat_out,alcohol,card,1890,out
2025-07-27,muveszetek_volgye,eat_out,food,cash,2000,out
2025-07-27,muveszetek_volgye,eat_out,coffee,cash,600,out
2025-07-27,muveszetek_volgye,fee,camping_rent,cash,6000,out
2025-07-27,friend,loan,camping_rent,cash,5000,in
2025-07-28,mol_bubi,fee,monthly_pass,card,1500,out
2025-07-28,spotify,fee,monthly_pass,card,1990,out
2025-07-28,muveszetek_volgye,fee,recups,card,3000,in
2025-07-30,coop,groceries,drink,card,249,out
2025-07-30,mav,travel,train_ticket,card,3856,out
2025-07-31,komaromy_pekseg,eat_out,bakery,card,873,out
2025-07-31,bkk,travel,county_pass,card,9450,out
2025-08-01,met,monthly_income,salary,card,538347,in
